p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.10309345701134609,0.278,0.65,0,1,TRANK1
0,0.46655216738973215,0.237,0.596,0,1,DGKK
0,0.1350355658001432,0.255,0.605,0,1,KL
0,0.168401961953762,0.271,0.62,0,1,FOXP2
0,0.28713445769368123,0.322,0.663,0,1,KCTD8
0,0.20518065305403188,0.307,0.647,0,1,POU3F1
0,0.11487860355751967,0.292,0.627,0,1,SLC35D3
0,0.10927948089350392,0.332,0.666,0,1,PLPPR5
0,0.25573926039134803,0.32,0.654,0,1,HCN1
0,0.26367897348503155,0.296,0.629,0,1,OPRM1
0,0.2778847724210185,0.316,0.648,0,1,ARHGAP6
0,0.24970127385265317,0.322,0.65,0,1,NPNT
0,0.1951437811228538,0.346,0.672,0,1,RADX
0,0.11638666030619205,0.283,0.605,0,1,DUSP5
0,0.31693277582341195,0.352,0.661,0,1,KLF5
0,0.45152665969333844,0.345,0.651,0,1,FNDC9
0,0.11026915419879102,0.295,0.598,0,1,CRH
0,0.12231967596401598,0.337,0.637,0,1,OPRK1
0,0.4161457602062679,0.373,0.67,0,1,MAGEL2
0,0.44868910226437153,0.348,0.641,0,1,PNMA5
0,0.3002031361728866,0.35,0.639,0,1,SEMA3E
0,0.330993371367726,0.368,0.653,0,1,CBLN4
0,0.22259216008774374,0.39,0.67,0,1,TMEM272
0,0.29738743179568616,0.401,0.674,0,1,EPB41L4B
0,0.11940851735574587,0.428,0.689,0,1,PRMT8
0,0.1063025986282857,0.398,0.656,0,1,SSTR2
0,0.22648468449169185,0.446,0.697,0,1,ST6GALNAC5
0,0.12602409316723073,0.428,0.673,0,1,PRKCH
0,0.21536708530554044,0.465,0.699,0,1,POU3F4
0,0.13686900803358615,0.384,0.615,0,1,RPRM
0,0.16594236700356535,0.482,0.708,0,1,HS6ST2
0,0.10945114707996939,0.421,0.628,0,1,HES5
0,0.6827325737817476,0.4,0.603,0,1,ARHGAP36
0,0.6091328018583542,0.437,0.635,0,1,CARTPT
0,0.35574333720244966,0.438,0.624,0,1,PYDC1
0,0.14626394874483756,0.467,0.6,0,1,TRAC
0,0.24791942986308468,0.793,0.817,0,1,PDYN
5.032602875597592e-183,0.2024810447373162,0.693,0.773,9.94945588505644e-180,1,DIRAS3
1.1413252268820938e-68,0.11389243929806336,0.557,0.72,2.2563999735458994e-65,1,P2RY1
0,0.4263489612776403,0.867,0.431,0,2,STUM
0,0.34283119100535947,0.877,0.454,0,2,HS6ST3
0,0.23400048410907448,0.894,0.482,0,2,MOB1B
0,0.17501513868194193,0.903,0.492,0,2,C1ORF115
0,0.17877766091300318,0.881,0.473,0,2,IFT57
0,0.46690658314060496,0.882,0.482,0,2,DOC2A
0,0.23556906586445298,0.918,0.526,0,2,KIRREL3
0,0.7321583535555357,0.87,0.479,0,2,FBXW7
0,0.24031283991810126,0.893,0.503,0,2,S100PBP
0,0.22851108381590685,0.907,0.523,0,2,PCDH7
0,0.2743997950363988,0.886,0.502,0,2,RELN
0,0.32502494734947784,0.88,0.497,0,2,WDR60
