symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SETD2	0.0057276293287957004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04710757664604137	No data	No data	No data	0	0	1	1	0	0.24532000000000026	No data	-0.8811210668889352	-0.8995421872249384	0	No data	-1	0	-1	-1
ACE2	0.005643266488150548	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0464137243113958	No data	No data	No data	1	1	1	1	1	0.10559000000000011	No data	-0.8245467805792873	-0.9773881755725017	0	No data	No data	0	0.5	0
IGF2	0.005605294462717976	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04610141881888126	No data	No data	0.5	0	1	0	0	0	0.19444500000000034	No data	0.27234840591789955	-0.9157697596430711	0	No data	No data	0	1	0
TBC1D22A	0.005543697820270528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.045594809820871586	No data	No data	No data	0	0	0	0	0	0.4487450000000003	No data	-0.5782454678057929	-0.26691729925385765	0	No data	No data	-0.013540000000000062	-1	-1
GRK4	0.005543697820270528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.045594809820871586	No data	No data	No data	1	0	1	1	0	0	No data	0.21733694519691604	No data	0	-1	No data	-0.13494750000000016	0.5	-1
MPDZ	0.005543697820270526	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04559480982087158	No data	No data	No data	1	0	0	0	1	0.20290000000000036	No data	-0.02646384663471557	-0.8087057342508172	0	No data	No data	0	0.5	0
SLC17A8	0.005543697820270526	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04559480982087158	No data	No data	No data	0	0	0	0	0	0.6264850000000003	No data	-0.3664305063554907	-0.34159281114363393	0	No data	No data	-0.303905	0.5	0.5
WNK2	0.005524076985014732	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.045433435900247066	No data	No data	No data	0	0	1	1	0	0	No data	-0.8774744738487185	0	0	No data	No data	0	0.5	0
SDHAF3	0.005523165606121377	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04542594015486835	No data	No data	No data	0	0	0	0	0	0.12000000000000029	No data	0.7693269431131486	No data	0	No data	No data	No data	-1	-1
HOMER2	0.005523165606121377	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04542594015486835	No data	No data	No data	0	0	0	0	0	0.72303	No data	-0.3074598874765576	-0.610426109297893	0	No data	No data	0	0.5	0
EHMT2	0.005387242348454003	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04430802296592698	No data	No data	No data	0	0	1	1	1	0.6818199999999998	1	-0.5653261096061679	-0.6200067380802279	0	-1	No data	0	-1	0
TBXT	0.00537430705354004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04420163507634495	No data	No data	No data	0	0	0	0	0	0.5527500000000003	No data	-0.31402375494894774	-0.9660087260929345	0	No data	No data	0	0.75	0.5
