Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000182667,NTM,98,-0.1231,25,-2.1721,149,0.64129,74,-0.5643,135,0.38934,100,-0.1125,130,0.32422,102,-0.0659
ENSG00000183715,OPCML,23,-2.1437,509,3.33871,40,-1.4441,138,0.60117,23,-2.1778,58,-0.8598,33,-1.6369,36,-1.4787
ENSG00000080854,IGSF9B,0,-8.2611,34,-0.3321,35,-0.3215,52,0.30507,89,1.23771,49,0.23936,28,-0.6296,55,0.40987
ENSG00000166086,JAM3,547,3.14306,1,-6.0269,56,-1.1445,101,-0.1371,72,-0.6684,52,-1.2460,46,-1.3352,118,0.10471
ENSG00000151502,VPS26B,67,-1.1995,118,-0.3388,167,0.24974,107,-0.4818,202,0.53188,181,0.40381,133,-0.1468,134,-0.1313
ENSG00000151500,THYN1,41,0.08383,55,0.54654,37,-0.0962,2,-4.4497,37,-0.0792,42,0.10819,56,0.57179,44,0.17192
ENSG00000109956,B3GAT1,320,1.19895,190,0.30220,130,-0.3295,87,-0.9266,136,-0.2338,125,-0.4011,165,0.07551,165,0.07522
ENSG00000120645,IQSEC3,8,-2.4243,178,2.80180,29,-0.5714,45,0.17371,21,-0.9845,24,-0.8930,27,-0.6110,19,-1.1348
ENSG00000111181,SLC6A12,38,0.47011,0,-6.9996,26,-0.1659,27,-0.0573,17,-0.7957,12,-1.3365,83,1.88496,41,0.61977
ENSG00000060237,WNK1,483,2.31824,134,-0.0112,88,-0.7441,65,-1.1349,83,-0.7534,84,-0.8044,123,-0.1541,119,-0.1985
ENSG00000082805,ERC1,3,-4.0564,36,-0.4951,39,-0.4013,49,-0.0041,86,0.93307,52,0.10245,95,1.10512,40,-0.3174
ENSG00000006831,ADIPOR2,187,2.97738,5,-3.0256,17,-1.4365,23,-0.8274,25,-0.7049,14,-1.6650,26,-0.6833,70,0.93067
ENSG00000166159,LRTM2,0,-7.1056,58,0.58285,23,-0.9593,54,0.46442,73,0.98191,54,0.53627,26,-0.6540,39,-0.0378
ENSG00000151067,CACNA1C,0,-7.5571,26,0.02731,17,-0.7523,1,-4.7703,27,0.04898,45,1.07267,13,-1.0119,70,1.69425
ENSG00000004478,FKBP4,65,-0.3888,168,1.17683,58,-0.6402,106,0.37800,74,-0.2018,89,0.12290,73,-0.2054,56,-0.6382
ENSG00000171792,RHNO1,18,-0.5940,23,-0.2136,14,-1.0367,36,0.49428,23,-0.2048,30,0.20877,44,0.81755,33,0.35210
ENSG00000011105,TSPAN9,0,-7.7620,14,-1.1120,27,-0.1520,32,0.09647,36,0.30453,34,0.24132,11,-1.4837,83,1.76240
ENSG00000111218,PRMT8,0,-9.1405,63,-0.5455,91,0.03270,50,-0.8948,172,1.10552,146,0.96727,79,-0.1939,53,-0.8196
ENSG00000118971,CCND2,47,-1.3404,90,-0.3618,142,0.42424,97,-0.2484,172,0.68944,112,-0.0261,130,0.22819,87,-0.4051
