Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to10,Feature log2 fold change topic 2to10
ENSG00000228794,LINC01128,10,-1.2318,24,1.23185
ENSG00000188976,NOC2L,37,-0.1861,42,0.18612
ENSG00000188290,HES4,35,-1.8420,126,1.84201
ENSG00000187608,ISG15,21,-0.4006,28,0.40067
ENSG00000078808,SDF4,91,0.37964,70,-0.3796
ENSG00000176022,B3GALT6,16,-0.5358,24,0.53582
ENSG00000160087,UBE2J2,46,0.30856,37,-0.3085
ENSG00000162572,SCNN1D,19,-0.0133,19,0.01331
ENSG00000131584,ACAP3,101,-0.4092,134,0.40921
ENSG00000127054,INTS11,54,0.25884,45,-0.2588
ENSG00000224051,CPTP,13,-0.6922,21,0.69226
ENSG00000107404,DVL1,86,0.58330,57,-0.5833
ENSG00000175756,AURKAIP1,121,0.25194,102,-0.2519
ENSG00000221978,CCNL2,99,0.53468,68,-0.5346
ENSG00000242485,MRPL20,132,0.26911,109,-0.2691
ENSG00000235098,ANKRD65,37,1.12197,17,-1.1219
ENSG00000179403,VWA1,280,2.51562,49,-2.5156
ENSG00000205090,TMEM240,11,-2.3240,58,2.32409
ENSG00000160075,SSU72,83,-0.7108,136,0.71084
ENSG00000228594,FNDC10,10,-0.9876,20,0.98769
ENSG00000272106,AL691432.2,39,-0.5509,57,0.55091
ENSG00000197530,MIB2,30,-0.2353,36,0.23531
ENSG00000189339,SLC35E2B,15,-0.4333,20,0.43337
ENSG00000215790,SLC35E2A,19,-0.4078,26,0.40781
ENSG00000008130,NADK,30,-0.3141,37,0.31414
ENSG00000078369,GNB1,261,-0.6183,400,0.61833
ENSG00000187730,GABRD,60,-1.9380,232,1.93801
ENSG00000067606,PRKCZ,90,-1.0548,188,1.05484
ENSG00000162585,FAAP20,51,0.50111,36,-0.5011
ENSG00000157933,SKI,87,0.68678,54,-0.6867
ENSG00000157916,RER1,106,0.53485,73,-0.5348
ENSG00000157911,PEX10,41,1.01785,20,-1.0178
ENSG00000157881,PANK4,9,-1.1719,22,1.17198
ENSG00000157870,PRXL2B,28,-0.5455,41,0.54550
ENSG00000177133,PRDM16-DT,15,-1.5295,43,1.52957
ENSG00000158109,TPRG1L,61,-1.2655,146,1.26555
ENSG00000116213,WRAP73,20,0.02997,20,-0.0299
ENSG00000130764,LRRC47,64,-0.0854,68,0.08541
ENSG00000116198,CEP104,36,0.62700,23,-0.6270
ENSG00000196581,AJAP1,37,-0.5863,56,0.58638
ENSG00000131697,NPHP4,14,-0.6085,22,0.60851
ENSG00000069424,KCNAB2,55,-1.4079,147,1.40794
ENSG00000116254,CHD5,13,-0.9701,25,0.97013
ENSG00000116251,RPL22,871,1.23405,370,-1.2340
ENSG00000116237,ICMT,34,-1.5470,100,1.54709
ENSG00000097021,ACOT7,60,-1.5560,177,1.55603
ENSG00000162408,NOL9,30,-0.4335,41,0.43352
ENSG00000162413,KLHL21,48,0.58983,32,-0.5898
ENSG00000007923,DNAJC11,20,-1.0041,41,1.00414
ENSG00000171735,CAMTA1,94,-1.0010,188,1.00100
ENSG00000049245,VAMP3,157,2.19448,34,-2.1944
ENSG00000049246,PER3,84,0.54697,57,-0.5469
ENSG00000116288,PARK7,236,-0.2225,276,0.22250
ENSG00000116285,ERRFI1,35,0.88487,19,-0.8848
ENSG00000162426,SLC45A1,19,-0.4465,27,0.44654
ENSG00000142599,RERE,64,-0.3487,82,0.34872
